date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:31	1678/1678	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Sun,%2020%20Apr%202025%2012:02:31%20GMT	https://thecopenhagenbook.com/robots.txt		(from )
14:02:32	12298/12298	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2012:02:31%20GMT	https://thecopenhagenbook.com/	thecopenhagenbook.com/index.html	(from )
14:02:33	1213/1213	---MCZ	200	added ('OK')	text/css	etag:W/%22cc228139f4390d9e10386510b7ac09b9%22	https://thecopenhagenbook.com/javascript.css	thecopenhagenbook.com/javascript.css	(from https://thecopenhagenbook.com/)
14:02:34	755/755	---MCZ	200	added ('OK')	text/css	etag:W/%226594c5b224bac425b3275a8151e763bd%22	https://thecopenhagenbook.com/json.css	thecopenhagenbook.com/json.css	(from https://thecopenhagenbook.com/)
14:02:35	3651/3651	---MCZ	200	added ('OK')	text/css	etag:W/%227b3dc69b9d54af81d89c5d28c64628aa%22	https://thecopenhagenbook.com/main.css	thecopenhagenbook.com/main.css	(from https://thecopenhagenbook.com/)
14:02:36	3082/3082	---MCZ	200	added ('OK')	text/css	etag:W/%22df2bb4170bd7785533807858cdd0ffcd%22	https://thecopenhagenbook.com/markdown.css	thecopenhagenbook.com/markdown.css	(from https://thecopenhagenbook.com/)
14:02:37	1213/1213	---MCZ	200	added ('OK')	text/css	etag:W/%2298d567d58bbf18b5d0bcb0476e0c575f%22	https://thecopenhagenbook.com/typescript.css	thecopenhagenbook.com/typescript.css	(from https://thecopenhagenbook.com/)
14:02:38	15876/15876	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2012:02:37%20GMT	https://thecopenhagenbook.com/server-side-tokens	thecopenhagenbook.com/server-side-tokens.html	(from https://thecopenhagenbook.com/)
14:02:39	24136/24136	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2012:02:38%20GMT	https://thecopenhagenbook.com/sessions	thecopenhagenbook.com/sessions.html	(from https://thecopenhagenbook.com/)
14:02:40	23672/23672	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2012:02:39%20GMT	https://thecopenhagenbook.com/password-authentication	thecopenhagenbook.com/password-authentication.html	(from https://thecopenhagenbook.com/)
14:02:41	18222/18222	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2012:02:40%20GMT	https://thecopenhagenbook.com/email-verification	thecopenhagenbook.com/email-verification.html	(from https://thecopenhagenbook.com/)
14:02:42	14731/14731	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2012:02:41%20GMT	https://thecopenhagenbook.com/password-reset	thecopenhagenbook.com/password-reset.html	(from https://thecopenhagenbook.com/)
14:02:43	33460/33460	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2012:02:42%20GMT	https://thecopenhagenbook.com/random-values	thecopenhagenbook.com/random-values.html	(from https://thecopenhagenbook.com/)
14:02:44	27236/27236	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2012:02:43%20GMT	https://thecopenhagenbook.com/oauth	thecopenhagenbook.com/oauth.html	(from https://thecopenhagenbook.com/)
14:02:45	22464/22464	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2012:02:44%20GMT	https://thecopenhagenbook.com/mfa	thecopenhagenbook.com/mfa.html	(from https://thecopenhagenbook.com/)
14:02:46	52978/52978	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2012:02:45%20GMT	https://thecopenhagenbook.com/webauthn	thecopenhagenbook.com/webauthn.html	(from https://thecopenhagenbook.com/)
14:02:47	27270/27270	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2012:02:46%20GMT	https://thecopenhagenbook.com/csrf	thecopenhagenbook.com/csrf.html	(from https://thecopenhagenbook.com/)
14:02:48	12634/12634	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2012:02:47%20GMT	https://thecopenhagenbook.com/open-redirect	thecopenhagenbook.com/open-redirect.html	(from https://thecopenhagenbook.com/)
14:02:49	16231/16231	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2012:02:48%20GMT	https://thecopenhagenbook.com/cryptography/ecdsa	thecopenhagenbook.com/cryptography/ecdsa.html	(from https://thecopenhagenbook.com/)
14:02:49	151/151	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Apr%202025%2012:02:49%20GMT	https://thecopenhagenbook.com/cdn-cgi/l/email-protection	thecopenhagenbook.com/cdn-cgi/l/email-protection	(from https://thecopenhagenbook.com/email-verification)
14:02:50	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2020%20Apr%202025%2012:02:50%20GMT	https://thecopenhagenbook.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	thecopenhagenbook.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://thecopenhagenbook.com/email-verification)
